APOGEE_ID,GLON,GLAT,RA,DEC,VHELIO_AVG,LOGG,TEFF,PMRA,PMDEC,AL_H,NA_H,O_H,MG_H,C_H,N_H,V_H,TI_H,CA_H,FE_H,K_H,MN_H,NI_H,SI_H,S_H,SNR,cluster_name,label
2M11145442+0714522,249.469182447,59.6825195346,168.72679,7.247855,-7.39781999588,2.84117402956,4864.02954975,4.69999980927,-4.80000019073,-0.00383097564094,-0.0808354362168,-0.0631295559641,-0.148465200266,-0.242815979778,-0.114449201779,-0.532749951586,-0.33593896348,-0.217234457016,-0.208650834097,-0.309310763026,-0.237948172558,-0.292571030239,0.0610304004786,-0.0455504245016,343.983001709,background,-1
2M11150270+0824087,247.827062874,60.4973050922,168.761253,8.40243,1.86576998234,4.2490558702,5061.70371421,-4.40000009537,-2.29999995232,-0.0581197809662,-0.116659665265,-0.046983756956,0.0710838644755,0.125884528947,-0.453841300468,-0.0811946053013,-0.029869657566,-0.0777853159678,-0.00412295576704,-0.310725851642,0.0807487938598,-0.0368555079354,-0.00735879417919,-0.133851941106,162.419998169,background,-1
2M11162583+0606342,251.58131915,59.1494296998,169.107646,6.109515,55.8328018188,3.36157376067,4923.51946827,5.90000009537,-9.5,0.0468491540583,-0.143620178336,-0.141353526889,-0.11856508768,-0.338501748747,-0.590562177417,-0.416518965416,-0.323862253211,-0.281074287644,-0.297396754202,-0.41640195239,-0.198808257932,-0.387166985285,-0.118612371005,-0.0814068672049,112.888000488,background,-1
2M11165548+0106470,257.907883151,55.4952461419,169.231174,1.113079,53.6683998108,2.75083278497,4940.93584697,-8.19999980927,-4.59999990463,-0.0641677049933,-0.569858326234,-0.131009842133,-0.228020679654,-0.18921627059,-0.360193176972,-0.452371838042,-0.25261779556,-0.293941166824,-0.268377904842,-0.304410619669,-0.247340270264,-0.238339959398,-0.0671598810959,-0.177767922162,267.677001953,background,-1
2M11173897+0600333,252.14277126,59.2884609352,169.412396,6.009271,-58.0344009399,1.30428101239,4356.01799066,-6.19999980927,-12.3000001907,-1.47940957767,-1.42239025889,-1.0168341852,-1.27961721764,-1.67884928612,-1.07433249092,-1.66118822236,-1.41800956,-1.19798806241,-1.3088107969,-1.26358003844,-1.50317100232,-1.40018705294,-0.948169755065,-0.922781077075,279.221984863,background,-1
2M11195740+0605433,252.844095205,59.7465483457,169.989188,6.095382,25.0988006592,3.54766833038,4524.69410022,-42.0,-76.0,0.0396628396835,0.154031580583,0.129323378028,0.143641668029,-0.0299944874789,0.0985686829103,-0.0206880692201,0.109957374503,0.143072251976,0.00631316012185,-0.157718576455,0.077346495603,-0.0631187273889,0.00688449732484,0.00258175861878,144.292999268,background,-1
2M11240191+5303283,149.015459458,59.4179937864,171.007965,53.057873,-184.07699585,2.30942106038,4678.42257005,0.0,0.0,-0.955048719337,-1.19288488148,-0.701629239632,-0.790969603062,-1.03638490715,-0.929924475385,-1.22962132582,-0.925266169224,-0.772928110382,-0.864536631667,-0.890481361771,-0.999868584657,-0.859502740273,-0.630033090625,-0.579527965477,145.018997192,background,-1
2M11264721+5132160,150.376566423,60.8423217347,171.696730169,51.5378036917,35.2933006287,3.47728799693,5438.25338518,-12.8999996185,-0.5,-0.980813530737,-0.932434774667,-0.768695924779,-0.722102275115,-0.507956374941,-0.995269574672,-0.584584657775,-0.86122101583,-0.889522410728,-0.971388614894,-0.892845161548,-0.87673967415,-0.841391961914,-0.853409560102,-0.585856092838,254.035003662,background,-1
2M11265639+0344311,258.462637055,59.1116284389,171.734982,3.741979,-3.14410996437,3.97579750594,5567.77872182,0.0,0.0,-0.591207860534,-0.963302227554,-0.694902702981,-0.412418960651,-0.437522964204,-0.409136165855,-0.162774998364,-0.610214008776,-0.771752052579,-0.746416352514,-0.923580138314,-0.698115717594,-0.697004324184,-0.65709881682,-0.68753061695,82.1961975098,background,-1
2M11271496+5120090,150.539389291,61.0416450793,171.812374,51.335846,-33.5666007996,3.22039920728,4287.08465774,44.0,-20.0,-0.123566200136,0.176347523094,0.0191913099935,-0.0623668401814,-0.262126449314,-0.0975444343064,-0.0212450246734,-0.223472108595,-0.0794912919517,-0.188216733181,-0.249484431323,-0.194856090047,-0.272336874941,-0.171345391282,0.0547528548514,101.968002319,background,-1
